测试套/软件包名,测试用例名,状态,日志文件,原因,负责人
smoke-baseinfo,oe_test_firewalld,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/smoke-baseinfo/oe_test_firewalld/2023-04-29-02:43:22.log,x86 fail,
smoke-baseinfo,oe_test_partition,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/smoke-baseinfo/oe_test_partition/2023-04-29-02:43:43.log,x86 fail,
smoke-baseinfo,oe_test_rpm_suffix_name,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/smoke-baseinfo/oe_test_rpm_suffix_name/2023-04-29-02:47:05.log,dnf list 获取的oetestsuite 软件仓中软件包版本号不带有oe2303的规范,黄烁
smoke-baseinfo,oe_test_systemctl,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/smoke-baseinfo/oe_test_systemctl/2023-04-29-02:46:09.log,preinstall absent,
qt5-qttools,oe_test_qt5-qttools_qdoc_02,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/qt5-qttools/oe_test_qt5-qttools_qdoc_02/2023-04-28-01:08:26.log,,
qt5-qttools,oe_test_qt5-qttools_qdoc_03,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/qt5-qttools/oe_test_qt5-qttools_qdoc_03/2023-04-28-01:11:47.log,,
qt5-qttools,oe_test_qt5-qttools_qdbus-qt5,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/qt5-qttools/oe_test_qt5-qttools_qdbus-qt5/2023-04-28-01:03:31.log,Unable to autolaunch a dbus-daemon without a $DISPLAY for X11,黄烁
FS_iSula,oe_test_isula_compress,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/FS_iSula/oe_test_isula_compress/2023-04-29-03:04:12.log,x86 fail,
FS_iSula,oe_test_isula_write_in_isula,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/FS_iSula/oe_test_isula_write_in_isula/2023-04-29-04:42:15.log,x86 fail,
FS_iSula,oe_test_isula_mergedir,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/FS_iSula/oe_test_isula_mergedir/2023-04-29-03:48:22.log,x86 fail,
FS_iSula,oe_test_isula_mount_system_isula,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/FS_iSula/oe_test_isula_mount_system_isula/2023-04-29-04:24:20.log,x86 fail,
FS_iSula,oe_test_isula_mount,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/FS_iSula/oe_test_isula_mount/2023-04-29-04:05:14.log,x86 fail,
